match_id,radiant_win,duration,avg_mmr,avg_rank_tier,radiant_team,dire_team
6988576005,False,2614,5049.0,81,"98,106,27,50,6","69,114,101,19,86"
6988577012,True,1798,5578.0,81,"38,33,52,86,25","35,80,53,78,112"
6988577317,False,2456,3980.0,81,"14,123,35,93,53","70,5,97,17,32"
6988578003,True,2310,4457.0,81,"34,81,67,64,71","113,84,36,25,19"
6988579712,True,2095,3524.0,81,"129,25,72,27,59","123,64,81,74,41"
6988580914,False,1398,4482.0,81,"75,41,15,123,22","53,85,83,120,32"
6988583300,False,2692,5754.0,81,"86,106,70,38,5","1,128,83,105,69"
6988584105,True,2954,,81,"129,88,9,13,11","25,86,76,33,53"
6988584900,False,3271,4697.0,81,"120,58,100,103,22","51,106,27,78,70"
6988585305,False,2934,3286.0,81,"59,11,83,137,6","25,65,71,14,101"
6988585400,False,2231,4526.0,81,"39,61,12,32,9","75,36,109,29,86"
6988587518,False,1184,5175.0,81,"9,31,70,38,76","120,109,75,35,86"
6988588705,False,2306,4392.0,81,"15,19,51,22,106","137,53,100,86,9"
6988591205,False,1424,,81,"31,1,137,64,129","128,107,35,38,106"
6988591407,True,2292,5590.0,81,"96,11,84,135,52","89,75,86,47,129"
6988592000,False,2030,5254.0,81,"63,86,69,11,101","53,70,9,74,83"
6988593512,True,2387,5185.0,81,"73,21,57,123,69","53,96,114,106,9"
6988594509,True,1925,4543.0,81,"16,75,56,44,9","39,83,67,110,64"
6988594713,True,2388,2925.0,81,"71,4,62,99,75","19,6,32,106,104"
6988595202,False,1484,5167.0,81,"111,129,82,105,10","46,135,37,93,14"
6988596313,False,1247,4180.0,81,"32,105,15,65,93","13,1,75,47,107"
6988596319,False,1039,4401.0,81,"89,14,38,61,9","91,36,6,83,40"
6988598105,True,2258,5578.0,81,"136,5,128,89,126","1,22,51,55,90"
6988598116,True,1507,4869.0,81,"19,61,30,83,93","135,87,9,113,59"
6988598902,True,2209,5824.0,81,"128,113,70,19,72","35,33,100,75,136"
6988599100,False,2340,3714.0,81,"11,83,35,98,112","41,100,22,5,28"
6988599708,True,2800,4288.0,81,"39,64,13,21,93","53,10,69,52,135"
6988600909,False,2694,4369.0,81,"109,3,19,43,128","110,81,69,9,21"
6988601000,True,1280,5117.0,81,"64,45,52,137,44","1,97,26,83,98"
6988601307,True,1164,4474.0,81,"17,43,50,20,95","136,59,78,75,105"
6987603403,False,2471,4812.0,81,"129,39,75,43,44","15,5,10,136,76"
6987604106,True,1728,4931.0,81,"54,86,64,69,15","65,110,6,128,43"
6987604217,False,1868,1863.0,81,"26,106,15,53,93","100,43,34,46,51"
6987604301,False,1857,5688.0,81,"34,78,87,41,19","83,39,25,114,97"
6987606109,True,2272,3910.0,81,"97,126,10,19,8","120,76,83,107,6"
6987607816,True,2018,4916.0,81,"14,32,6,77,13","65,51,97,53,86"
6987612602,True,2561,2511.0,81,"52,72,69,83,63","100,86,1,14,137"
6987612711,True,2713,4421.0,81,"62,20,86,16,8","58,3,60,14,92"
6987614714,False,1269,4659.0,81,"15,26,10,74,75","100,105,38,19,72"
6987615608,False,2416,4636.0,81,"106,86,32,70,2","120,62,50,137,11"
6987617707,False,1662,,81,"14,136,7,59,38","54,43,32,19,83"
6987619107,False,2653,4789.0,81,"120,67,112,53,9","44,50,15,47,83"
6987619514,True,1610,5762.0,81,"14,123,53,81,52","100,25,106,19,29"
6987621209,True,1661,4479.0,81,"6,101,37,104,59","54,64,106,69,86"
6987622616,False,2980,4319.0,81,"105,77,85,106,56","78,20,25,120,128"
6987623318,False,2275,6632.0,81,"65,70,90,3,7","53,136,86,22,96"
6987623807,False,2157,4522.0,81,"22,8,60,107,62","40,59,110,90,70"
6987623902,True,2133,3590.0,81,"114,86,7,21,59","67,58,35,75,32"
6987625512,False,1954,4451.0,81,"58,97,43,54,14","56,128,137,11,83"
6987627705,False,2286,,81,"38,87,39,123,25","54,97,35,111,64"
6987628411,True,3290,5406.0,81,"34,6,83,69,51","26,98,120,62,75"
6987628802,True,3169,7457.0,81,"11,53,120,19,71","123,83,93,137,28"
6987630308,True,831,4512.0,81,"86,80,57,77,6","11,19,43,15,8"
6987632111,False,2611,6660.0,81,"21,15,9,32,107","39,93,57,101,104"
6987632303,False,3279,3996.0,81,"128,5,19,70,13","51,22,4,111,21"
6987632304,True,1791,5082.0,81,"87,120,32,10,97","53,75,83,92,34"
6987633809,False,2234,3618.0,81,"101,10,49,19,57","86,41,14,29,110"
6987633812,False,1775,,81,"137,71,23,100,56","61,123,10,96,75"
6987635813,True,2488,4631.0,81,"44,123,16,34,14","114,105,128,9,29"
6987636314,False,4388,5899.0,81,"100,20,72,11,43","86,103,137,67,105"
6987636419,True,1696,3474.0,81,"75,101,114,19,90","86,20,106,1,137"
6987637601,True,1733,3649.0,81,"19,50,96,42,75","52,104,111,86,41"
6987640804,True,1836,,81,"74,136,21,100,53","35,14,86,61,106"
6987640814,False,2044,5834.0,81,"5,22,72,11,80","120,114,83,105,93"
6987642406,True,2817,5094.0,81,"9,15,53,86,35","6,14,87,43,114"
6987644701,True,1999,4264.0,81,"69,74,83,35,40","41,29,39,22,5"
